#INPUT xsec(pb) kfactor
/wntmp/cmorgoth/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball_RunTwo8TeV.root 2950.0 1.1972542373
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/DYJetsHT/DYJetsHT200To400_RunTwo_TOTAL.root 19.73 1.1973
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/DYJetsHT/DYJetsHT400_RunTwo_hadd_TOTAL.root 2.826 1.1973
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/WJetsLNuHT/WJetsToLNu_150_HT_200_RunTwo_TOTAL.root 235.6 1.2401
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/WJetsLNuHT/WJetsToLNu_200_HT_250_RunTwo_TOTAL.root 90.27 1.2401
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/WJetsLNuHT/WJetsToLNu_250_HT_300_RunTwo_TOTAL.root 48.01 1.2401
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/WJetsLNuHT/WJetsToLNu_300_HT_400_RunTwo_TOTAL.root 38.3 1.2401
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/WJetsLNuHT/WJetsToLNu_400_HT_Inf_RunTwo_TOTAL.root 25.22 1.2401
/mnt/hadoop/store/user/djanders/RunTwo_8TeV_StudySamples/RazorControlSampleTTJetsFullLept.root 14.3115 1.8034 
/mnt/hadoop/store/user/djanders/RunTwo_8TeV_StudySamples/RazorControlSampleTTJetsHadronic.root 62.2891 1.8034
/mnt/hadoop/store/user/djanders/RunTwo_8TeV_StudySamples/RazorControlSampleTTJetsSemiLept.root 59.6994 1.8034
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/Tbar_s_channel/Tbar_s-channel_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 1.57 1.1210191083
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/Tbar_t_channel/Tbar_t-channel_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 25.0 1.1896
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/Tbar_tW_channel/Tbar_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 10.7 1.0373831776
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/T_s_channel/T_s-channel_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 2.82 1.3439716312
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/T_t_channel/T_t-channel_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 47.0 1.1674468085
/mnt/hadoop/store/user/cmorgoth/RunTwo_8TeV_StudySamples/T_tW_channel/T_tW-channel_TuneZ2star_8TeV-powheg-tauola_testMC_0.root 10.7 1.0373831776
